Date,Location,Administered_Dose1_Pop_Pct
2022-03-22,MP,87.3
2022-03-22,MS,59.1
2022-03-22,MT,64.7
2022-03-22,NC,82.9
2022-03-22,ND,64.6
2022-03-22,NE,69.7
2022-03-22,NH,86.4
2022-03-22,NJ,89.6
2022-03-22,NM,86.6
2022-03-22,NV,74.5
2022-03-22,NY,89.4
2022-03-22,OH,63.1
2022-03-22,OK,70.4
2022-03-22,OR,77.3
2022-03-22,PA,83.8
2022-03-22,PR,95
2022-03-22,PW,94.5
2022-03-22,RI,95
2022-03-22,SC,67
2022-03-22,SD,75.4
2022-03-22,TN,61.6
2022-03-22,TX,71.8
2022-03-22,US,76.8
2022-03-22,UT,71.5
2022-03-22,VA,84.9
2022-03-22,VI,64.2
2022-03-22,VT,92.6
2022-03-22,WA,80.2
2022-03-22,WI,71.3
2022-03-22,WV,64.5
2022-03-22,WY,58.3
2022-03-23,AK,69.1
2022-03-23,AL,62.2
2022-03-23,AR,66.1
2022-03-23,AS,93.6
2022-03-23,AZ,72.1
2022-03-23,BP,0
2022-03-23,CA,82.4
2022-03-23,CO,78.7
2022-03-23,CT,94.5
2022-03-23,DC,95
2022-03-23,DD,0
2022-03-23,DE,82.2
2022-03-23,FL,78.5
2022-03-23,FM,61.9
2022-03-23,GA,64.8
2022-03-23,GU,90.5
2022-03-23,HI,86.9
2022-03-23,IA,67.5
2022-03-23,ID,60.6
2022-03-23,IH,52.1
2022-03-23,IL,76.4
2022-03-23,IN,61
2022-03-23,KS,73.9
2022-03-23,KY,65.7
2022-03-23,LA,60.6
2022-03-23,MA,95
2022-03-23,MD,85.4
2022-03-23,ME,89.3
2022-03-23,MH,39.1
2022-03-23,MI,66.5
2022-03-23,MN,74.6
2022-03-23,MO,65.7
2022-03-23,MP,87.4
2022-03-23,MS,59.2
2022-03-23,MT,64.8
2022-03-23,NC,82.9
2022-03-23,ND,64.6
2022-03-23,NE,69.7
2022-03-23,NH,86.5
2022-03-23,NJ,89.6
2022-03-23,NM,86.6
2022-03-23,NV,74.5
2022-03-23,NY,89.4
2022-03-23,OH,63.2
2022-03-23,OK,70.4
2022-03-23,OR,77.3
2022-03-23,PA,83.8
2022-03-23,PR,95
2022-03-23,PW,94.5
2022-03-23,RI,95
2022-03-23,SC,67
2022-03-23,SD,75.4
2022-03-23,TN,61.6
2022-03-23,TX,71.9
2022-03-23,US,76.8
2022-03-23,UT,71.6
2022-03-23,VA,84.9
2022-03-23,VI,64.2
